Epoch,Phase,Right_Label,Pred_umdavb,Pred_rbbb,Pred_lbbb,Pred_sb,Pred_st,Pred_af
14,test,rbbb,2,27,0,0,1,0
14,test,lbbb,3,2,22,0,0,0
14,test,sb,2,0,0,13,0,0
14,test,st,2,1,0,0,31,1
14,test,af,6,0,1,0,1,3
15,val,umdavb,3257,76,48,82,36,59
15,val,rbbb,167,515,31,33,7,19
15,val,lbbb,88,32,301,4,4,1
15,val,sb,49,1,0,365,0,0
15,val,st,42,2,5,0,529,16
15,val,af,153,10,21,7,17,282
15,test,umdavb,676,8,8,6,5,3
15,test,rbbb,7,23,0,0,0,0
15,test,lbbb,5,2,20,0,0,0
15,test,sb,2,0,0,13,0,0
15,test,st,4,0,0,0,30,1
15,test,af,6,0,0,1,1,3
16,val,umdavb,3190,97,57,93,43,78
16,val,rbbb,113,574,34,22,7,22
16,val,lbbb,68,32,321,1,6,2
16,val,sb,45,5,0,363,0,2
16,val,st,27,5,7,0,540,15
16,val,af,116,14,22,10,27,301
16,test,umdavb,654,21,8,7,7,9
16,test,rbbb,6,23,0,0,1,0
16,test,lbbb,2,2,23,0,0,0
16,test,sb,2,0,0,13,0,0
16,test,st,4,0,0,0,31,0
16,test,af,5,0,1,1,1,3
17,val,umdavb,3232,79,41,83,52,71
17,val,rbbb,136,556,18,28,10,24
17,val,lbbb,72,51,286,5,6,10
17,val,sb,41,5,0,369,0,0
17,val,st,18,3,4,0,555,14
17,val,af,90,7,9,8,34,342
17,test,umdavb,665,13,7,8,7,6
17,test,rbbb,3,25,0,0,1,1
17,test,lbbb,3,2,22,0,0,0
17,test,sb,1,0,0,14,0,0
17,test,st,2,1,0,0,32,0
17,test,af,3,0,0,0,1,7
18,val,umdavb,3199,100,59,78,42,80
18,val,rbbb,102,598,27,18,5,22
18,val,lbbb,64,52,304,3,5,2
18,val,sb,62,5,0,348,0,0
18,val,st,30,6,6,0,536,16
18,val,af,108,12,18,6,24,322
18,test,umdavb,648,27,8,6,9,8
18,test,rbbb,3,26,0,0,1,0
18,test,lbbb,3,2,22,0,0,0
18,test,sb,3,0,0,12,0,0
18,test,st,2,1,0,0,32,0
18,test,af,4,0,0,1,1,5
19,val,umdavb,3186,92,61,87,52,80
19,val,rbbb,119,554,39,29,8,23
19,val,lbbb,62,41,319,1,4,3
19,val,sb,44,4,0,365,0,2
19,val,st,26,6,4,0,545,13
19,val,af,88,11,30,9,25,327
19,test,umdavb,660,18,6,8,8,6
19,test,rbbb,4,25,0,0,1,0
19,test,lbbb,3,2,22,0,0,0
19,test,sb,2,0,0,13,0,0
19,test,st,1,0,1,0,32,1
19,test,af,5,0,1,0,1,4
20,val,umdavb,3178,115,59,91,36,79
20,val,rbbb,73,622,28,24,4,21
20,val,lbbb,44,58,316,4,1,7
20,val,sb,36,6,0,373,0,0
20,val,st,30,11,6,0,530,17
20,val,af,88,16,18,11,27,330
20,test,umdavb,651,24,9,10,8,4
20,test,rbbb,2,27,0,0,1,0
20,test,lbbb,2,2,22,0,0,1
20,test,sb,1,0,0,14,0,0
20,test,st,2,1,0,0,31,1
20,test,af,5,0,1,0,1,4
21,val,umdavb,3220,101,46,79,31,81
21,val,rbbb,110,592,27,19,4,20
21,val,lbbb,93,53,271,2,6,5
21,val,sb,54,4,0,352,0,5
21,val,st,29,11,4,0,534,16
21,val,af,81,16,15,7,27,344
21,test,umdavb,660,18,6,9,7,6
21,test,rbbb,3,26,0,0,1,0
21,test,lbbb,6,2,18,0,0,1
21,test,sb,3,0,0,12,0,0
21,test,st,2,2,0,0,30,1
21,test,af,4,0,0,0,1,6
22,val,umdavb,3239,101,34,74,42,68
22,val,rbbb,103,592,23,24,6,24
22,val,lbbb,75,50,288,5,5,7
22,val,sb,55,4,0,354,0,2
22,val,st,25,10,5,0,536,18
22,val,af,104,12,14,6,18,336
22,test,umdavb,657,24,5,5,8,7
22,test,rbbb,3,26,0,0,1,0
22,test,lbbb,4,2,20,0,0,1
22,test,sb,3,0,0,12,0,0
22,test,st,2,2,0,0,31,0
22,test,af,5,0,0,0,1,5
23,val,umdavb,3188,98,60,65,47,100
23,val,rbbb,96,592,36,19,6,23
23,val,lbbb,59,40,317,3,3,8
23,val,sb,58,5,0,350,0,2
23,val,st,23,3,5,0,546,17
23,val,af,67,11,22,8,24,358
23,test,umdavb,656,18,7,6,8,11
23,test,rbbb,5,23,0,0,1,1
23,test,lbbb,0,2,24,1,0,0
23,test,sb,4,0,0,11,0,0
23,test,st,2,1,0,0,32,0
23,test,af,4,0,0,0,1,6
24,val,umdavb,3253,110,51,65,38,41
24,val,rbbb,97,614,20,21,5,15
24,val,lbbb,50,60,310,4,3,3
24,val,sb,58,3,0,353,0,1
24,val,st,28,7,5,0,540,14
24,val,af,122,16,23,6,22,301
24,test,umdavb,666,15,6,6,8,5
24,test,rbbb,4,25,0,0,1,0
24,test,lbbb,1,2,23,0,0,1
24,test,sb,4,0,0,11,0,0
24,test,st,2,1,0,0,32,0
24,test,af,4,0,0,0,1,6
25,val,umdavb,3227,70,42,76,48,95
25,val,rbbb,108,576,21,20,10,37
25,val,lbbb,74,48,298,1,3,6
25,val,sb,46,5,1,363,0,0
25,val,st,23,3,3,0,543,22
25,val,af,79,11,10,11,18,361
25,test,umdavb,663,15,4,7,9,8
25,test,rbbb,4,24,0,0,1,1
25,test,lbbb,2,2,23,0,0,0
25,test,sb,2,0,0,13,0,0
25,test,st,3,1,0,0,31,0
25,test,af,3,0,0,0,1,7
26,val,umdavb,3226,65,57,80,33,97
26,val,rbbb,112,573,30,23,5,29
26,val,lbbb,77,29,306,3,8,7
26,val,sb,46,3,0,366,0,0
26,val,st,30,3,6,0,537,18
26,val,af,65,7,16,11,26,365
26,test,umdavb,661,13,7,5,9,11
26,test,rbbb,4,25,0,0,1,0
26,test,lbbb,4,2,19,0,0,2
26,test,sb,2,0,0,13,0,0
26,test,st,0,1,0,0,33,1
26,test,af,2,0,1,0,1,7
